company_code,document_number,description,payment_type,amount,currency_code,transaction_type,seller_number,customer_number,main_account,desc_length,desc_has_numbers,desc_uppercase_ratio,has_tckn,has_vkn,has_tckn_or_vkn,has_hvl,has_int,has_cepsube,has_komisyon,has_ucret,has_masraf,has_odeme,has_tahsilat,has_havale,has_virman,has_fatura,has_cek,has_eft,has_company_name,number_count,has_dash,has_dot,amount_log,amount_range,trans_pay_combo,company_group,doc_number_first_digit,doc_number_length,is_check_transaction,is_eft_transaction,is_transfer,is_high_amount,desc_suggests_seller,desc_suggests_customer,expects_seller,expects_customer,expects_main_account,payment_type_encoded,transaction_type_encoded,trans_pay_combo_encoded,amount_range_encoded,company_group_encoded,doc_number_first_digit_encoded,company_code_encoded
1501,4200000900,FAST2014801864-AHMETALİFTBEDELINEI,H,100000.0,TRY,NMSC,,1200115154.0,,34,1,0.6764705882352942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,11.51293546492023,large,NMSC_H,group_B,4,10,0,0,0,0,0,0,0,1,0,0,3,4,0,1,0,1501
1501,4200000904,FAST24164827254-GENCNESILMEDYAA.S.-PLR,H,100000.0,TRY,NMSC,,1200100191.0,,38,1,0.6052631578947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11.51293546492023,large,NMSC_H,group_B,4,10,0,0,0,0,0,0,0,1,0,0,3,4,0,1,0,1501
1501,4200000906,MARMA2ISTANBULSABIHAGOKCENULUS.HAVAL,S,555850.0,TRY,NTRF,3200101041.0,,,36,1,0.9444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,13.228255551706647,xlarge,NTRF_S,group_B,4,10,0,0,1,1,0,0,1,0,0,1,6,10,5,1,0,1501
1501,4200000898,THEHESABAHAVALEKOMISYONU-KOM,S,8.87,TRY,NTRF,,,7800150001.0,28,0,0.9642857142857143,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2.28949985344539,micro,NTRF_S,group_B,4,10,0,0,1,0,0,0,1,0,0,1,6,10,3,1,0,1501
1501,4200000899,THEEFTKOMISYONU-KOM,S,18.26,TRY,NTRF,,,7800150001.0,19,0,0.9473684210526315,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2.9580304063699794,micro,NTRF_S,group_B,4,10,0,0,1,0,0,0,1,0,0,1,6,10,3,1,0,1501
1000,4200008719,90001EF3576996,H,1060000.0,TRY,NEFT,,1200200092.0,,14,1,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13.87378040948403,mega,NEFT_H,group_A,4,10,0,1,0,1,0,0,0,1,0,0,2,2,2,0,0,1000
1000,4200008754,3ISTANBULBAŞAKŞEHİRMEDYAILETISI,H,8850000.0,TRY,NTRF,,1200200104.0,,31,1,0.967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15.995928129978456,mega,NTRF_H,group_A,4,10,0,0,1,1,0,0,0,1,0,0,6,9,2,0,0,1000
1000,4200008755,ISTANBULBAŞAKŞEHİRMEDYAILETISI,H,8900000.0,TRY,NTRF,,1200200104.0,,30,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.001561947061912,mega,NTRF_H,group_A,4,10,0,0,1,1,0,0,0,1,0,0,6,9,2,0,0,1000
1000,4200008756,93ISTANBULBAŞAKŞEHİRMEDYAILETISI,H,8750000.0,TRY,NTRF,,1200200104.0,,32,1,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15.984564372619506,mega,NTRF_H,group_A,4,10,0,0,1,1,0,0,0,1,0,0,6,9,2,0,0,1000
1000,4200008721,90001AIFA2BBM,S,200000.0,TRY,NEFT,3200200003.0,,,13,1,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12.206077645517674,xlarge,NEFT_S,group_A,4,10,0,1,0,0,0,0,1,0,0,1,2,3,5,0,0,1000
